,DateTime,Outlet,Sentiment,Sentiment Neg,Sentiment Neu,Sentiment Pos,Text,Tweets Ago
0,Tue Apr 03 20:03:05 +0000 2018,@BBC,0.0772,0.0,0.929,0.071,"Philomena Cunk's landmark mockumentary series takes us through Britain's history, journeying from the Big Bang to B… https://t.co/1rF5k3acxy",0.0
1,Tue Apr 03 18:03:05 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"🎭 Andrew Scott performs the opening lines of #Shakespeare's most famous soliloquy. 

#Hamlet | Watch on @BBCiPlayer https://t.co/zZ15WjA9CL",1.0
2,Tue Apr 03 17:03:04 +0000 2018,@BBC,-0.5411,0.304,0.576,0.119,"No time to shop or cook? No problem! 
🍠🥑🍅🍗🥒
These easy recipes only have five ingredients.
👉 https://t.co/RanWkLFdlU https://t.co/moI1Af2olz",2.0
3,Tue Apr 03 16:02:04 +0000 2018,@BBC,0.0,0.0,1.0,0.0,🐊💦 Fancy a dip? https://t.co/gpfkGcue3C,3.0
4,Tue Apr 03 15:05:05 +0000 2018,@BBC,0.7351,0.0,0.754,0.246,"What's it like to live with a brain tumour? 
❤️ Ten-year-old Josh says it's all about staying happy and thinking of… https://t.co/HbjxBc3vYF",4.0
5,Tue Apr 03 13:15:07 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"A Chinese family have been reunited with their daughter after a 24 year search.
👉 https://t.co/BDR7X4fukg https://t.co/J5BvVEw98q",5.0
6,Tue Apr 03 12:05:58 +0000 2018,@BBC,0.0,0.0,1.0,0.0,#TheSecretHelpers is on @BBCTwo tonight at 7pm. 👉 https://t.co/grtaCChy4G,6.0
7,Tue Apr 03 12:01:00 +0000 2018,@BBC,0.5859,0.0,0.769,0.231,"Would you let a stranger help you in a nerve-wracking situation? 

Secret helpers in South Africa gave Jonny romanc… https://t.co/LRwo1LQteF",7.0
8,Tue Apr 03 11:37:31 +0000 2018,@BBC,-0.1082,0.123,0.773,0.104,"8-year-old Alexa is going blind, so she's created a list of things she wants to see before that happens. ❤️https://t.co/7UAs9sWBDn",8.0
9,Tue Apr 03 11:01:05 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"When this woman visited an uninhabited Caribbean island, the last thing she expected was to find it covered in plas… https://t.co/2sSod0k54f",9.0
10,Tue Apr 03 09:29:03 +0000 2018,@BBC,0.0,0.0,1.0,0.0,🐾🦕 New light has been shed on dinosaur evolution after giant prehistoric footprints were discovered on the Isle of… https://t.co/n9FwbF9lHC,10.0
11,Tue Apr 03 08:03:04 +0000 2018,@BBC,-0.5994,0.163,0.837,0.0,"From Mary Beard not wanting to be a TV Presenter, to the people protecting art in war zones... 

Here are 9 fascina… https://t.co/SbAVgjwbUE",11.0
